Month,Exports,Imports,OT,start_date,date,end_date,his_avg_1,his_std_1,his_avg_2,his_std_2,his_avg_3,his_std_3,his_avg_4,his_std_4,his_avg_5,his_std_5,his_avg_6,his_std_6,his_avg_7,his_std_7,prior_history_avg,prior_history_std,Final_Search_2,Final_Search_4,Final_Search_6
August 2023,171404.5,266026.9,-94622.4,2023-08-01,2023-08-01,2023-08-31,-102453.1,,-99681.6,3919.492888117033,-94707.8,9049.711131853885,-90175.975,11693.92715768175,-88476.62000000001,10816.653195744057,-85783.96666666667,11709.06832018102,-83718.94285714287,12004.256083136675,-102453.1,,Available facts are as follows: 2023-07-24: NA. 2023-07-17: NA.;,Available facts are as follows: 2023-07-24: NA. 2023-07-17: NA. 2023-07-10: NA. 2023-07-03: NA.;,Available facts are as follows: 2023-07-24: NA. 2023-07-17: NA. 2023-07-10: NA. 2023-07-03: NA. 2023-06-26: NA. 2023-06-19: NA.;
September 2023,171272.3,261306.3,-90034.0,2023-09-01,2023-09-01,2023-09-30,-99363.2,,-100699.5,1889.813583399171,-95344.93333333332,9370.15742948502,-89450.45,14053.930715995435,-85946.08,14475.419576371523,-82317.46666666667,15704.49699502237,-79343.95714285715,16352.930433804737,-99363.2,,Available facts are as follows: 2023-08-21: NA. 2023-08-14: NA.;,Available facts are as follows: 2023-08-21: NA. 2023-08-14: NA. 2023-08-07: NA. 2023-07-31: NA.;,Available facts are as follows: 2023-08-21: NA. 2023-08-14: NA. 2023-08-07: NA. 2023-07-31: NA. 2023-07-24: NA. 2023-07-17: NA.;
October 2023,178021.0,276831.6,-98810.6,2023-10-01,2023-10-01,2023-10-31,-101635.3,,-94397.55,10235.724211065868,-91703.06666666668,8611.953690268736,-87882.925,10383.533132922532,-88061.5,9001.26465531372,-85766.81666666667,9818.943014279424,-82582.18571428572,12301.876078526746,-101635.3,,Available facts are as follows: 2023-09-25: NA. 2023-09-18: NA.;,Available facts are as follows: 2023-09-25: NA. 2023-09-18: NA. 2023-09-11: NA. 2023-09-04: NA.;,Available facts are as follows: 2023-09-25: NA. 2023-09-18: NA. 2023-09-11: NA. 2023-09-04: NA. 2023-08-28: NA. 2023-08-21: NA.;
November 2023,167193.2,255909.3,-88716.1,2023-11-01,2023-11-01,2023-11-30,-84687.4,,-93784.3,12864.959355551811,-90929.89999999998,10353.56883832816,-83656.79999999999,16824.273918954124,-81768.4,15169.786335838748,-80123.18333333333,14154.093445419478,-78413.78571428571,13689.518469426232,-84687.4,,Available facts are as follows: 2023-10-23: NA. 2023-10-16: NA.;,Available facts are as follows: 2023-10-23: NA. 2023-10-16: NA. 2023-10-09: NA. 2023-10-02: NA.;,Available facts are as follows: 2023-10-23: NA. 2023-10-16: NA. 2023-10-09: NA. 2023-10-02: NA. 2023-09-25: NA. 2023-09-18: NA.;
December 2023,167788.2,247425.9,-79637.6,2023-12-01,2023-12-01,2023-12-31,-85075.0,,-91417.95,8970.285915454419,-88360.53333333333,8262.95375294654,-82875.825,12878.109533461551,-80828.98000000001,12055.37851487874,-78037.96666666667,12767.31191248442,-75047.12857142858,14087.322864040358,-85075.0,,Available facts are as follows: 2023-11-20: NA. 2023-11-13: NA.;,Available facts are as follows: 2023-11-20: NA. 2023-11-13: NA. 2023-11-06: NA. 2023-10-30: NA.;,Available facts are as follows: 2023-11-20: NA. 2023-11-13: NA. 2023-11-06: NA. 2023-10-30: NA. 2023-10-23: NA. 2023-10-16: NA.;
January 2022,147848.0,247065.3,-99217.3,2022-01-01,2022-01-01,2022-01-31,-76476.9,,-71576.79999999999,6929.787876984401,-72421.86666666665,5114.038817151599,-73814.0,5018.738508828687,-72676.34,5036.085140563053,-70206.26666666668,7543.029660996079,-68797.92857142858,7829.324814804547,-76476.9,,"Available facts are as follows: 2021-12-20: The value of the dollar affects the US trade balance, but the extent of its impact is debated among economists. [Source: www.piie.com] 2021-12-13: The United States had a trade deficit with Japan, and the growth rate of the US trade deficit with Japan was also important. [Source: www.sciencedirect.com]; In 2022, Ecuador was the number 68 in total exports and the number 70 in total imports. [Source: oec.world]; The US International Trade Commission's balance sheet as of September 30, 2021, and the related statements of net cost, changes were audited. [Source: www.usitc.gov];","Available facts are as follows: 2021-12-20: The value of the dollar affects the US trade balance, but the extent of its impact is debated among economists. [Source: www.piie.com] 2021-12-13: The United States had a trade deficit with Japan, and the growth rate of the US trade deficit with Japan was also important. [Source: www.sciencedirect.com]; In 2022, Ecuador was the number 68 in total exports and the number 70 in total imports. [Source: oec.world]; The US International Trade Commission's balance sheet as of September 30, 2021, and the related statements of net cost, changes were audited. [Source: www.usitc.gov] 2021-12-06: The U.S. international trade deficit was $67.1 billion in October 2021, a decrease of 17.6% from the previous month. Exports increased by 8.1% to $223.6 billion, while imports increased by 0.9% to $290.7 billion. [Source] 2021-11-29: The United States' trade deficit with Switzerland was closer to balance when including services data, except for 2020. [Source: home.treasury.gov]; The USMCA (United States-Mexico-Canada Agreement) has an impact on the US international trade balance. [Source: crsreports.congress.gov]; The US agricultural exports to Colombia have been rising, which could affect the US international trade balance. [Source: www.ers.usda.gov];","Available facts are as follows: 2021-12-20: The value of the dollar affects the US trade balance, but the extent of its impact is debated among economists. [Source: www.piie.com] 2021-12-13: The United States had a trade deficit with Japan, and the growth rate of the US trade deficit with Japan was also important. [Source: www.sciencedirect.com]; In 2022, Ecuador was the number 68 in total exports and the number 70 in total imports. [Source: oec.world]; The US International Trade Commission's balance sheet as of September 30, 2021, and the related statements of net cost, changes were audited. [Source: www.usitc.gov] 2021-12-06: The U.S. international trade deficit was $67.1 billion in October 2021, a decrease of 17.6% from the previous month. Exports increased by 8.1% to $223.6 billion, while imports increased by 0.9% to $290.7 billion. [Source] 2021-11-29: The United States' trade deficit with Switzerland was closer to balance when including services data, except for 2020. [Source: home.treasury.gov]; The USMCA (United States-Mexico-Canada Agreement) has an impact on the US international trade balance. [Source: crsreports.congress.gov]; The US agricultural exports to Colombia have been rising, which could affect the US international trade balance. [Source: www.ers.usda.gov] 2021-11-22: The United States has a trade imbalance, with a trade deficit being a concern in various aspects of international trade, including with India and China. [Source: ustr.gov, www.wto.org] 2021-11-15: The United States had a services trade deficit of an estimated $2.4 billion with Japan in 2022, down 147.3 percent from 2021. [Source: ustr.gov];"
February 2022,150555.2,234218.6,-83663.4,2022-02-01,2022-02-01,2022-02-28,-69262.8,,-58126.9,15748.540809230552,-57148.76666666666,11264.035833720229,-57499.45,9223.7510831187,-56000.36,8662.825299692937,-55763.91666666666,7769.882009249991,-54185.642857142855,8230.787298684769,-69262.8,,"Available facts are as follows: 2022-01-24: The United States International Trade Commission is an independent, nonpartisan, quasi-judicial federal agency that fulfills a range of trade-related tasks. [Source: www.usitc.gov]; The U.S. trade surplus was reduced by the Marshall Plan and more competitively-aligned exchange rates, relieving pressure on European nations. [Source: www.investopedia.com]; The U.S. was a net exporter of fabrics before the pandemic, but the trade balance shifted due to increased import demand for non-woven fabrics for PPE purposes. [Source: shenglufashion.com]; The World Trade Organization (WTO) deals with global rules of trade between nations, including balance of payments, customs, state trading enterprises, and subsidies. [Source: www.wto.org]; The United States runs a trade surplus with some countries in the ASEAN region. [Source: govinfo.gov] 2022-01-17: The United States maintains the world's biggest bilateral trade relationship with China. [Source: www.airuniversity.af.edu]; The trade balance of the United States has a surplus of 228.0% from the beginning of 2021 until September 2021. [Source: www.mof.gov.sa]; The Committee on Foreign Investment in the United States (CFIUS) and Assistant Secretary for International Trade are involved in international trade. [Source: home.treasury.gov];","Available facts are as follows: 2022-01-24: The United States International Trade Commission is an independent, nonpartisan, quasi-judicial federal agency that fulfills a range of trade-related tasks. [Source: www.usitc.gov]; The U.S. trade surplus was reduced by the Marshall Plan and more competitively-aligned exchange rates, relieving pressure on European nations. [Source: www.investopedia.com]; The U.S. was a net exporter of fabrics before the pandemic, but the trade balance shifted due to increased import demand for non-woven fabrics for PPE purposes. [Source: shenglufashion.com]; The World Trade Organization (WTO) deals with global rules of trade between nations, including balance of payments, customs, state trading enterprises, and subsidies. [Source: www.wto.org]; The United States runs a trade surplus with some countries in the ASEAN region. [Source: govinfo.gov] 2022-01-17: The United States maintains the world's biggest bilateral trade relationship with China. [Source: www.airuniversity.af.edu]; The trade balance of the United States has a surplus of 228.0% from the beginning of 2021 until September 2021. [Source: www.mof.gov.sa]; The Committee on Foreign Investment in the United States (CFIUS) and Assistant Secretary for International Trade are involved in international trade. [Source: home.treasury.gov] 2022-01-10: The United States is the largest foreign aid donor in the world, accounting for nearly 23% of total official development assistance from major donor governments. [Source: crsreports.congress.gov]; The US trade deficit has increased due to COVID-19 medical supply shortages. [Source: www.ncbi.nlm.nih.gov]; The global trade volume growth is expected to be high in 2022, with the United States having an increase below 200%. [Source: www.spglobal.com] 2022-01-03: The US trade deficit was $676 billion in 2020 according to the Bureau of Economic Analysis. [Source: usafacts.org];","Available facts are as follows: 2022-01-24: The United States International Trade Commission is an independent, nonpartisan, quasi-judicial federal agency that fulfills a range of trade-related tasks. [Source: www.usitc.gov]; The U.S. trade surplus was reduced by the Marshall Plan and more competitively-aligned exchange rates, relieving pressure on European nations. [Source: www.investopedia.com]; The U.S. was a net exporter of fabrics before the pandemic, but the trade balance shifted due to increased import demand for non-woven fabrics for PPE purposes. [Source: shenglufashion.com]; The World Trade Organization (WTO) deals with global rules of trade between nations, including balance of payments, customs, state trading enterprises, and subsidies. [Source: www.wto.org]; The United States runs a trade surplus with some countries in the ASEAN region. [Source: govinfo.gov] 2022-01-17: The United States maintains the world's biggest bilateral trade relationship with China. [Source: www.airuniversity.af.edu]; The trade balance of the United States has a surplus of 228.0% from the beginning of 2021 until September 2021. [Source: www.mof.gov.sa]; The Committee on Foreign Investment in the United States (CFIUS) and Assistant Secretary for International Trade are involved in international trade. [Source: home.treasury.gov] 2022-01-10: The United States is the largest foreign aid donor in the world, accounting for nearly 23% of total official development assistance from major donor governments. [Source: crsreports.congress.gov]; The US trade deficit has increased due to COVID-19 medical supply shortages. [Source: www.ncbi.nlm.nih.gov]; The global trade volume growth is expected to be high in 2022, with the United States having an increase below 200%. [Source: www.spglobal.com] 2022-01-03: The US trade deficit was $676 billion in 2020 according to the Bureau of Economic Analysis. [Source: usafacts.org] 2021-12-27: The United States has a trade deficit, meaning it consumes more raw materials than it produces. [Source: en.wikipedia.org]; The United States International Trade in Goods and Services can be found in FT900. [Source: www.us-taiwan.org]; The trade balance is calculated as domestic exports minus imports. [Source: ustr.gov]; The United States has a trade imbalance, leading to empty containers piling up at US ports. [Source: repositorio.cepal.org] 2021-12-20: The value of the dollar affects the US trade balance, but the extent of its impact is debated among economists. [Source: www.piie.com];"
March 2022,179313.8,295975.4,-116661.7,2022-03-01,2022-03-01,2022-03-31,-84249.9,,-72438.5,16703.842070613573,-67946.23333333334,14143.92270105197,-65565.6,12491.464813490316,-64070.3,11322.858752982833,-62204.96666666667,11110.468709224944,-62542.32857142857,10181.623339742093,-84249.9,,"Available facts are as follows: 2022-02-21: The COVID-19 pandemic has had a significant impact on international trade flows, including the USA product trade balance. [Source: www.ncbi.nlm.nih.gov]; The U.S. has evolved from being the world's top energy importer to a significant exporter, having a huge impact on the U.S. balance of trade and global energy dynamics. [Source: www.uschamber.com]; The U.S. International Trade Commission (ITC) has played a role in shaping U.S. trade policy, including the trade deficit with South Korea. [Source: crsreports.congress.gov] 2022-02-14: The U.S. trade deficit in manufactured goods is explained by China's soaring global trade surplus, which has increased 60% since 2019. [Source: www.epi.org]; In 2021, Mexico was the U.S.'s 1st trading partner in terms of trading value, followed by Canada and China. [Source: www.bis.doc.gov]; The 15 countries that made up 75 percent of the United States total international trade value in 2021 were leading trade partners with the United States. [Source: www.statista.com]; The U.S. trade deficit with Germany is higher than the prior year, with 18.2% of U.S.-Germany trade being in Machinery, Equipment, and Computers. [Source: www.bis.doc.gov]; Trade growth continued to be positive for both goods and services in Q3 2021 and especially in Q4 2021, with trade in goods increasing by almost US$ 100 billion in Q4 2021. [Source: unctad.org];","Available facts are as follows: 2022-02-21: The COVID-19 pandemic has had a significant impact on international trade flows, including the USA product trade balance. [Source: www.ncbi.nlm.nih.gov]; The U.S. has evolved from being the world's top energy importer to a significant exporter, having a huge impact on the U.S. balance of trade and global energy dynamics. [Source: www.uschamber.com]; The U.S. International Trade Commission (ITC) has played a role in shaping U.S. trade policy, including the trade deficit with South Korea. [Source: crsreports.congress.gov] 2022-02-14: The U.S. trade deficit in manufactured goods is explained by China's soaring global trade surplus, which has increased 60% since 2019. [Source: www.epi.org]; In 2021, Mexico was the U.S.'s 1st trading partner in terms of trading value, followed by Canada and China. [Source: www.bis.doc.gov]; The 15 countries that made up 75 percent of the United States total international trade value in 2021 were leading trade partners with the United States. [Source: www.statista.com]; The U.S. trade deficit with Germany is higher than the prior year, with 18.2% of U.S.-Germany trade being in Machinery, Equipment, and Computers. [Source: www.bis.doc.gov]; Trade growth continued to be positive for both goods and services in Q3 2021 and especially in Q4 2021, with trade in goods increasing by almost US$ 100 billion in Q4 2021. [Source: unctad.org] 2022-02-07: The U.S. goods and services deficit was $80.7 billion in December 2021. [Source: www.bea.gov] 2022-01-31: The U.S. goods trade deficit with the rest of the world has increased, and the balance of President Biden's first term is expected to be affected. [Source: www.epi.org]; The U.S. Treasury has estimated a marketable borrowing of $650 billion, which may impact the international trade balance. [Source: home.treasury.gov]; The U.S.-South Korea Free Trade Agreement (KORUS) has resulted in an increase in the U.S. trade deficit with South Korea. [Source: crsreports.congress.gov]; Exports play a crucial role in the U.S. dairy industry, ensuring market balance for U.S. dairy farmers. [Source: www.nmpf.org]; The USDA has projected a net agricultural trade balance of -3.7 in 2022, with the United States having a 7.7% global trade share by 2031/32. [Source: www.usda.gov];","Available facts are as follows: 2022-02-21: The COVID-19 pandemic has had a significant impact on international trade flows, including the USA product trade balance. [Source: www.ncbi.nlm.nih.gov]; The U.S. has evolved from being the world's top energy importer to a significant exporter, having a huge impact on the U.S. balance of trade and global energy dynamics. [Source: www.uschamber.com]; The U.S. International Trade Commission (ITC) has played a role in shaping U.S. trade policy, including the trade deficit with South Korea. [Source: crsreports.congress.gov] 2022-02-14: The U.S. trade deficit in manufactured goods is explained by China's soaring global trade surplus, which has increased 60% since 2019. [Source: www.epi.org]; In 2021, Mexico was the U.S.'s 1st trading partner in terms of trading value, followed by Canada and China. [Source: www.bis.doc.gov]; The 15 countries that made up 75 percent of the United States total international trade value in 2021 were leading trade partners with the United States. [Source: www.statista.com]; The U.S. trade deficit with Germany is higher than the prior year, with 18.2% of U.S.-Germany trade being in Machinery, Equipment, and Computers. [Source: www.bis.doc.gov]; Trade growth continued to be positive for both goods and services in Q3 2021 and especially in Q4 2021, with trade in goods increasing by almost US$ 100 billion in Q4 2021. [Source: unctad.org] 2022-02-07: The U.S. goods and services deficit was $80.7 billion in December 2021. [Source: www.bea.gov] 2022-01-31: The U.S. goods trade deficit with the rest of the world has increased, and the balance of President Biden's first term is expected to be affected. [Source: www.epi.org]; The U.S. Treasury has estimated a marketable borrowing of $650 billion, which may impact the international trade balance. [Source: home.treasury.gov]; The U.S.-South Korea Free Trade Agreement (KORUS) has resulted in an increase in the U.S. trade deficit with South Korea. [Source: crsreports.congress.gov]; Exports play a crucial role in the U.S. dairy industry, ensuring market balance for U.S. dairy farmers. [Source: www.nmpf.org]; The USDA has projected a net agricultural trade balance of -3.7 in 2022, with the United States having a 7.7% global trade share by 2031/32. [Source: www.usda.gov] 2022-01-24: The United States International Trade Commission is an independent, nonpartisan, quasi-judicial federal agency that fulfills a range of trade-related tasks. [Source: www.usitc.gov]; The U.S. trade surplus was reduced by the Marshall Plan and more competitively-aligned exchange rates, relieving pressure on European nations. [Source: www.investopedia.com]; The U.S. was a net exporter of fabrics before the pandemic, but the trade balance shifted due to increased import demand for non-woven fabrics for PPE purposes. [Source: shenglufashion.com]; The World Trade Organization (WTO) deals with global rules of trade between nations, including balance of payments, customs, state trading enterprises, and subsidies. [Source: www.wto.org]; The United States runs a trade surplus with some countries in the ASEAN region. [Source: govinfo.gov] 2022-01-17: The United States maintains the world's biggest bilateral trade relationship with China. [Source: www.airuniversity.af.edu]; The trade balance of the United States has a surplus of 228.0% from the beginning of 2021 until September 2021. [Source: www.mof.gov.sa]; The Committee on Foreign Investment in the United States (CFIUS) and Assistant Secretary for International Trade are involved in international trade. [Source: home.treasury.gov];"
April 2022,173533.9,273176.8,-99642.9,2022-04-01,2022-04-01,2022-04-30,-82436.6,,-76669.75,8155.557482171292,-75668.09999999999,6022.164651518594,-73464.575,6603.009497885545,-71160.24,7697.376162238665,-68508.76666666668,9464.752762257802,-67517.04285714286,9029.723150583884,-82436.6,,Available facts are as follows: 2022-03-21: NA. 2022-03-14: NA.;,"Available facts are as follows: 2022-03-21: NA. 2022-03-14: NA. 2022-03-07: NA. 2022-02-28: The U.S. has kept a trade deficit with Israel in the last six years. [Source: U.S. Census Bureau, Foreign Trade Division]; The U.S. has kept a trade surplus with Australia in the last five years. [Source: U.S. Census Bureau, Foreign Trade Division]; The Office of the United States Trade Representative (USTR) is responsible for preparing the National Trade Estimate Report on Foreign Trade Barriers. [Source: ustr.gov]; The International Trade Administration has general operational responsibility for major non-agricultural international trade functions of the United States. [Source: www.commerce.gov];","Available facts are as follows: 2022-03-21: NA. 2022-03-14: NA. 2022-03-07: NA. 2022-02-28: The U.S. has kept a trade deficit with Israel in the last six years. [Source: U.S. Census Bureau, Foreign Trade Division]; The U.S. has kept a trade surplus with Australia in the last five years. [Source: U.S. Census Bureau, Foreign Trade Division]; The Office of the United States Trade Representative (USTR) is responsible for preparing the National Trade Estimate Report on Foreign Trade Barriers. [Source: ustr.gov]; The International Trade Administration has general operational responsibility for major non-agricultural international trade functions of the United States. [Source: www.commerce.gov] 2022-02-21: The COVID-19 pandemic has had a significant impact on international trade flows, including the USA product trade balance. [Source: www.ncbi.nlm.nih.gov]; The U.S. has evolved from being the world's top energy importer to a significant exporter, having a huge impact on the U.S. balance of trade and global energy dynamics. [Source: www.uschamber.com]; The U.S. International Trade Commission (ITC) has played a role in shaping U.S. trade policy, including the trade deficit with South Korea. [Source: crsreports.congress.gov] 2022-02-14: The U.S. trade deficit in manufactured goods is explained by China's soaring global trade surplus, which has increased 60% since 2019. [Source: www.epi.org]; In 2021, Mexico was the U.S.'s 1st trading partner in terms of trading value, followed by Canada and China. [Source: www.bis.doc.gov]; The 15 countries that made up 75 percent of the United States total international trade value in 2021 were leading trade partners with the United States. [Source: www.statista.com]; The U.S. trade deficit with Germany is higher than the prior year, with 18.2% of U.S.-Germany trade being in Machinery, Equipment, and Computers. [Source: www.bis.doc.gov]; Trade growth continued to be positive for both goods and services in Q3 2021 and especially in Q4 2021, with trade in goods increasing by almost US$ 100 billion in Q4 2021. [Source: unctad.org];"
May 2022,179047.5,285388.2,-106340.7,2022-05-01,2022-05-01,2022-05-31,-84590.2,,-78528.75,8572.184797646392,-78244.63333333333,6081.393174539309,-76308.2,6297.194468967907,-75536.51999999999,5720.003824037182,-73576.76666666666,7015.593614418288,-71403.62857142856,8606.576888386826,-84590.2,,Available facts are as follows: 2022-04-25: NA. 2022-04-18: NA.;,Available facts are as follows: 2022-04-25: NA. 2022-04-18: NA. 2022-04-11: NA. 2022-04-04: NA.;,Available facts are as follows: 2022-04-25: NA. 2022-04-18: NA. 2022-04-11: NA. 2022-04-04: NA. 2022-03-28: NA. 2022-03-21: NA.;
June 2022,182662.9,286285.2,-103622.3,2022-06-01,2022-06-01,2022-06-30,-94261.4,,-84138.54999999999,14315.871759868483,-78841.53333333333,13661.890382495874,-75569.67499999999,12932.583927010352,-73548.37999999999,12077.539594511783,-71863.78333333333,11563.76952821469,-71083.81428571428,10756.041717321565,-94261.4,,Available facts are as follows: 2022-05-23: NA. 2022-05-16: NA.;,Available facts are as follows: 2022-05-23: NA. 2022-05-16: NA. 2022-05-09: NA. 2022-05-02: NA.;,Available facts are as follows: 2022-05-23: NA. 2022-05-16: NA. 2022-05-09: NA. 2022-05-02: NA. 2022-04-25: NA. 2022-04-18: NA.;
July 2022,175896.8,270907.4,-95010.6,2022-07-01,2022-07-01,2022-07-31,-93027.6,,-89825.9,4527.887562649945,-88175.66666666667,4291.933486592421,-86893.25,4342.675680192267,-83425.16,8618.721789685522,-80516.7,10496.700894090489,-78933.02857142857,10458.172931845264,-93027.6,,Available facts are as follows: 2022-06-20: NA. 2022-06-13: NA.;,Available facts are as follows: 2022-06-20: NA. 2022-06-13: NA. 2022-06-06: NA. 2022-05-30: NA.;,Available facts are as follows: 2022-06-20: NA. 2022-06-13: NA. 2022-06-06: NA. 2022-05-30: NA. 2022-05-23: NA. 2022-05-16: NA.;
August 2022,181182.3,283635.4,-102453.1,2022-08-01,2022-08-01,2022-08-31,-96910.1,,-90835.15,8591.27668073844,-86083.59999999999,10229.208166324512,-84982.5,8637.5624250518,-82450.14,9381.889432998028,-80596.58333333333,9540.959771724578,-78685.7,10070.67956660986,-96910.1,,Available facts are as follows: 2022-07-25: NA. 2022-07-18: NA.;,Available facts are as follows: 2022-07-25: NA. 2022-07-18: NA. 2022-07-11: NA. 2022-07-04: NA.;,Available facts are as follows: 2022-07-25: NA. 2022-07-18: NA. 2022-07-11: NA. 2022-07-04: NA. 2022-06-27: NA. 2022-06-20: NA.;
