Date,OT,Anomaly,start_date,end_date,date,his_avg_1,his_std_1,his_avg_2,his_std_2,his_avg_3,his_std_3,his_avg_4,his_std_4,his_avg_5,his_std_5,his_avg_6,his_std_6,his_avg_7,his_std_7,prior_history_avg,prior_history_std
198312,3.43,1.09,1983-12-01,1983-12-31,1983-12-01,3.75,,3.08,0.9475230867899735,2.5766666666666667,1.0995150446143669,2.5766666666666667,1.0995150446143669,2.5766666666666667,1.0995150446143669,2.5766666666666667,1.0995150446143669,2.5766666666666667,1.0995150446143669,2.5766666666666667,1.0995150446143669
198401,1.35,-0.96,1984-01-01,1984-01-31,1984-01-01,2.08,,2.46,0.537401153701776,2.46,0.537401153701776,2.52,0.3939543120718441,2.52,0.3939543120718441,2.52,0.3939543120718441,2.52,0.3939543120718441,2.52,0.3939543120718441
198402,2.11,-0.02,1984-02-01,1984-02-29,1984-02-01,2.68,,2.455,0.3181980515339465,2.36,0.2787471972953272,2.25,0.3165438358268884,2.25,0.3165438358268884,2.25,0.3165438358268884,2.25,0.3165438358268884,2.25,0.3165438358268884
198403,2.75,0.24,1984-03-01,1984-03-31,1984-03-01,3.7,,3.105,0.8414570696119918,2.8033333333333332,0.7918543637142713,2.9475,0.7079253727147611,2.9475,0.7079253727147611,2.9475,0.7079253727147611,2.9475,0.7079253727147611,2.9475,0.7079253727147611
198404,2.95,0.43,1984-04-01,1984-04-30,1984-04-01,3.2,,2.8600000000000003,0.48083261120685244,2.6366666666666667,0.5150080905513363,2.5725,0.4396494815949028,2.5725,0.4396494815949028,2.5725,0.4396494815949028,2.5725,0.4396494815949028,2.5725,0.4396494815949028
198405,3.15,0.24,1984-05-01,1984-05-31,1984-05-01,3.46,,3.435,0.03535533905932725,3.473333333333333,0.07094598884597572,3.3775,0.20022903552348914,3.3775,0.20022903552348914,3.3775,0.20022903552348914,3.3775,0.20022903552348914,3.3775,0.20022903552348914
198406,2.93,0.01,1984-06-01,1984-06-30,1984-06-01,2.95,,3.13,0.25455844122715704,3.22,0.23811761799581305,2.9925,0.49479793855674054,2.9925,0.49479793855674054,2.9925,0.49479793855674054,2.9925,0.49479793855674054,2.9925,0.49479793855674054
198407,2.83,0.05,1984-07-01,1984-07-31,1984-07-01,2.08,,2.515,0.6151828996322964,2.706666666666667,0.5472050194701555,2.5225000000000004,0.579043751945107,2.5225000000000004,0.579043751945107,2.5225000000000004,0.579043751945107,2.5225000000000004,0.579043751945107,2.5225000000000004,0.579043751945107
198408,2.43,-0.19,1984-08-01,1984-08-31,1984-08-01,2.37,,2.46,0.12727922061357835,2.56,0.1951922129594312,2.5625,0.1594521871910196,2.5625,0.1594521871910196,2.5625,0.1594521871910196,2.5625,0.1594521871910196,2.5625,0.1594521871910196
198409,1.91,-0.58,1984-09-01,1984-09-30,1984-09-01,2.26,,2.355,0.1343502884254443,2.263333333333333,0.18502252115170562,2.395,0.303589635308366,2.395,0.303589635308366,2.395,0.303589635308366,2.395,0.303589635308366,2.395,0.303589635308366
198410,3.65,1.49,1984-10-01,1984-10-31,1984-10-01,2.6,,2.465,0.19091883092036785,2.6766666666666663,0.3906831623366092,2.4749999999999996,0.5142308171758411,2.4749999999999996,0.5142308171758411,2.4749999999999996,0.5142308171758411,2.4749999999999996,0.5142308171758411,2.4749999999999996,0.5142308171758411
198411,2.85,0.62,1984-11-01,1984-11-30,1984-11-01,3.91,,3.45,0.6505382386916236,2.97,0.9501578816175764,2.6675,0.9838148538554736,2.6675,0.9838148538554736,2.6675,0.9838148538554736,2.6675,0.9838148538554736,2.6675,0.9838148538554736
198412,2.49,0.15,1984-12-01,1984-12-31,1984-12-01,3.43,,3.59,0.2262741699796951,3.1966666666666668,0.6998094978873417,2.79,0.9939818911831342,2.79,0.9939818911831342,2.79,0.9939818911831342,2.79,0.9939818911831342,2.79,0.9939818911831342
198501,1.42,-0.89,1985-01-01,1985-01-31,1985-01-01,1.35,,1.715,0.5161879502661797,2.09,0.7450503338701351,2.09,0.7450503338701351,2.2275,0.6676014279992716,2.2275,0.6676014279992716,2.2275,0.6676014279992716,2.2275,0.6676014279992716
198502,2.1,-0.03,1985-02-01,1985-02-28,1985-02-01,2.11,,2.395,0.40305086527633227,2.34,0.30049958402633453,2.2975,0.25966324345197583,2.222,0.28119388329051553,2.222,0.28119388329051553,2.222,0.28119388329051553,2.222,0.28119388329051553
198503,2.48,-0.03,1985-03-01,1985-03-31,1985-03-01,2.75,,3.225,0.6717514421272203,2.986666666666667,0.6293117934166923,2.79,0.6470960773589447,2.908,0.6194110105576103,2.908,0.6194110105576103,2.908,0.6194110105576103,2.908,0.6194110105576103
198504,1.97,-0.55,1985-04-01,1985-04-30,1985-04-01,2.95,,3.075,0.1767766952966369,2.89,0.34394767043839686,2.715,0.44873897386639683,2.6479999999999997,0.4164972989108094,2.6479999999999997,0.4164972989108094,2.6479999999999997,0.4164972989108094,2.6479999999999997,0.4164972989108094
198505,2.55,-0.36,1985-05-01,1985-05-31,1985-05-01,3.15,,3.3049999999999997,0.21920310216782976,3.34,0.16643316977093245,3.3925,0.17173137938847013,3.332,0.20104725812604363,3.332,0.20104725812604363,3.332,0.20104725812604363,3.332,0.20104725812604363
198506,2.62,-0.3,1985-06-01,1985-06-30,1985-06-01,2.93,,2.9400000000000004,0.014142135623730963,3.063333333333334,0.21385353243127248,3.1475000000000004,0.24253865671269795,2.9800000000000004,0.4294182110716777,2.9800000000000004,0.4294182110716777,2.9800000000000004,0.4294182110716777,2.9800000000000004,0.4294182110716777
198507,2.72,-0.06,1985-07-01,1985-07-31,1985-07-01,2.83,,2.455,0.5303300858899106,2.62,0.47148700936505133,2.7375,0.45102660675396966,2.584,0.5199807688751575,2.584,0.5199807688751575,2.584,0.5199807688751575,2.584,0.5199807688751575
198508,2.92,0.3,1985-08-01,1985-08-31,1985-08-01,2.43,,2.4000000000000004,0.04242640687119289,2.45,0.09165151389911663,2.5275,0.1721191447805849,2.536,0.15026643005009455,2.536,0.15026643005009455,2.536,0.15026643005009455,2.536,0.15026643005009455
198509,2.99,0.5,1985-09-01,1985-09-30,1985-09-01,1.91,,2.085,0.24748737341529153,2.2066666666666666,0.27392213005402355,2.175,0.23245071162148193,2.2979999999999996,0.3408372045419925,2.2979999999999996,0.3408372045419925,2.2979999999999996,0.3408372045419925,2.2979999999999996,0.3408372045419925
198510,3.18,1.02,1985-10-01,1985-10-31,1985-10-01,3.65,,3.125,0.7424621202458748,2.86,0.6973521348644456,2.92,0.5818934610390462,2.71,0.688803310096576,2.71,0.688803310096576,2.71,0.688803310096576,2.71,0.688803310096576
198511,3.54,1.31,1985-11-01,1985-11-30,1985-11-01,2.85,,3.38,0.7495331880577404,3.25,0.5758472019555188,2.94,0.7781173861742628,2.7039999999999997,0.8559088736541994,2.7039999999999997,0.8559088736541994,2.7039999999999997,0.8559088736541994,2.7039999999999997,0.8559088736541994
198512,1.46,-0.88,1985-12-01,1985-12-31,1985-12-01,2.49,,2.96,0.6646803743153546,3.223333333333333,0.654930021707154,3.02,0.6718134661744533,2.73,0.8712060605849801,2.73,0.8712060605849801,2.73,0.8712060605849801,2.73,0.8712060605849801
198601,1.45,-0.86,1986-01-01,1986-01-31,1986-01-01,1.42,,1.385,0.049497474683058214,1.6166666666666665,0.40278199231511497,1.9224999999999999,0.6944722216666888,1.9224999999999999,0.6944722216666888,2.066,0.6816744090839849,2.066,0.6816744090839849,2.066,0.6816744090839849
198602,2.82,0.69,1986-02-01,1986-02-28,1986-02-01,2.1,,2.105,0.007071067811865324,2.296666666666667,0.3320140559273559,2.2800000000000002,0.2731300056749533,2.258,0.24159884105682303,2.2016666666666667,0.25639162752840955,2.2016666666666667,0.25639162752840955,2.2016666666666667,0.25639162752840955
198603,1.98,-0.53,1986-03-01,1986-03-31,1986-03-01,2.48,,2.615,0.19091883092036785,2.9766666666666666,0.6408067831517809,2.86,0.5728874234961003,2.728,0.5772954183085122,2.8366666666666664,0.5809188124571856,2.8366666666666664,0.5809188124571856,2.8366666666666664,0.5809188124571856
198604,2.24,-0.28,1986-04-01,1986-04-30,1986-04-01,1.97,,2.46,0.6929646455628167,2.706666666666667,0.6501025560119983,2.66,0.5389495956642577,2.566,0.5118886597688994,2.535,0.4641012820495114,2.535,0.4641012820495114,2.535,0.4641012820495114
198605,2.95,0.04,1986-05-01,1986-05-31,1986-05-01,2.55,,2.8499999999999996,0.42426406871192857,3.0533333333333332,0.46263736698772334,3.1425,0.417721996867135,3.224,0.4050678955434509,3.2016666666666667,0.3664105165885208,3.2016666666666667,0.3664105165885208,3.2016666666666667,0.3664105165885208
198606,3.03,0.11,1986-06-01,1986-06-30,1986-06-01,2.62,,2.7750000000000004,0.21920310216782976,2.8333333333333335,0.1850225211517056,2.9525,0.28217902119044924,3.0420000000000003,0.3158638947394905,2.92,0.411242021199196,2.92,0.411242021199196,2.92,0.411242021199196
198607,2.75,-0.03,1986-07-01,1986-07-31,1986-07-01,2.72,,2.7750000000000004,0.07778174593052013,2.5433333333333334,0.405010287935175,2.6450000000000005,0.3882009788756335,2.7340000000000004,0.3906788962818442,2.606666666666667,0.4683873041262612,2.606666666666667,0.4683873041262612,2.606666666666667,0.4683873041262612
198608,2.82,0.2,1986-08-01,1986-08-31,1986-08-01,2.92,,2.675,0.3464823227814081,2.5733333333333333,0.3017173069834299,2.5675,0.2466272491027704,2.606,0.23028243528328415,2.6,0.2064945519862448,2.6,0.2064945519862448,2.6,0.2064945519862448
198609,3.59,1.1,1986-09-01,1986-09-30,1986-09-01,2.99,,2.45,0.7636753236814716,2.3866666666666667,0.5510293398117141,2.4025,0.4510266067539698,2.338,0.41637723280698247,2.4133333333333336,0.41562803883600874,2.4133333333333336,0.41562803883600874,2.4133333333333336,0.41562803883600874
198610,2.81,0.65,1986-10-01,1986-10-31,1986-10-01,3.18,,3.415,0.33234018715767716,3.143333333333333,0.5259594407683289,2.94,0.5914389233048497,2.972,0.5171750187315701,2.7883333333333336,0.6452725522340669,2.7883333333333336,0.6452725522340669,2.7883333333333336,0.6452725522340669
198611,2.93,0.7,1986-11-01,1986-11-30,1986-11-01,3.54,,3.1950000000000003,0.48790367901871773,3.4333333333333336,0.537990086649683,3.3225000000000002,0.49202811572781757,3.06,0.7253275122315437,2.8433333333333337,0.8381805692490532,2.8433333333333337,0.8381805692490532,2.8433333333333337,0.8381805692490532
198612,2.0,-0.34,1986-12-01,1986-12-31,1986-12-01,1.46,,1.975,0.7283199846221442,2.4600000000000004,0.9853425800197615,2.7825,1.0311603496385355,2.708,0.9084162041707534,2.5183333333333335,0.9359576201231905,2.5183333333333335,0.9359576201231905,2.5183333333333335,0.9359576201231905
198701,2.17,-0.14,1987-01-01,1987-01-31,1987-01-01,1.45,,1.435,0.021213203435596444,1.406666666666667,0.05131601439446876,1.5750000000000002,0.33926390907374754,1.828,0.6374715679934282,1.828,0.6374715679934282,1.9633333333333336,0.6595351898622747,1.9633333333333336,0.6595351898622747
198702,2.33,0.2,1987-02-01,1987-02-28,1987-02-01,2.82,,2.46,0.5091168824543141,2.3433333333333333,0.41283572196859764,2.4274999999999998,0.376773583645846,2.388,0.3380384593504118,2.3516666666666666,0.3151771988368871,2.29,0.3307567081708246,2.29,0.3307567081708246
198703,2.67,0.16,1987-03-01,1987-03-31,1987-03-01,1.98,,2.23,0.3535533905932738,2.4033333333333333,0.3906831623366092,2.7275,0.7225591094621027,2.684,0.633269295008056,2.6033333333333335,0.5998888785989174,2.7142857142857144,0.6213388003029464,2.7142857142857144,0.6213388003029464
198704,1.46,-1.06,1987-04-01,1987-04-30,1987-04-01,2.24,,2.105,0.19091883092036802,2.3866666666666667,0.5061949558552845,2.59,0.579827560572969,2.5759999999999996,0.5031202639528646,2.5116666666666663,0.47679835010900223,2.492857142857143,0.43809109728891954,2.492857142857143,0.43809109728891954
198705,3.24,0.33,1987-05-01,1987-05-31,1987-05-01,2.95,,2.75,0.2828427124746193,2.8833333333333333,0.3055050463303894,3.0275,0.3812588796780127,3.104,0.37186018878067606,3.1783333333333332,0.37917893753037846,3.165714285714286,0.3477478561092382,3.165714285714286,0.3477478561092382
198706,2.81,-0.11,1987-06-01,1987-06-30,1987-06-01,3.03,,2.825,0.2899137802864843,2.86,0.2137755832643194,2.8825000000000003,0.18025444978326233,2.9680000000000004,0.24681977230359806,3.0400000000000005,0.28255972819918973,2.935714285714286,0.377706108981447,2.935714285714286,0.377706108981447
198707,2.83,0.05,1987-07-01,1987-07-31,1987-07-01,2.75,,2.7350000000000003,0.021213203435596288,2.766666666666667,0.05686240703077323,2.595,0.34645827069552454,2.6660000000000004,0.3394554462665167,2.736666666666667,0.34949487359139714,2.6271428571428572,0.4309955253330861,2.6271428571428572,0.4309955253330861
198708,2.74,0.12,1987-08-01,1987-08-31,1987-08-01,2.82,,2.87,0.07071067811865482,2.723333333333333,0.25890796305508496,2.635,0.2754995462791181,2.618,0.24159884105682286,2.6416666666666666,0.2237334723877199,2.6314285714285712,0.20602819964174568,2.6314285714285712,0.20602819964174568
198709,2.19,-0.3,1987-09-01,1987-09-30,1987-09-01,3.59,,3.29,0.4242640687119283,2.83,0.8513518661517105,2.6875,0.7512822372450982,2.6399999999999997,0.6592419889539803,2.5466666666666664,0.6324133669259898,2.5814285714285714,0.5845918397032402,2.5814285714285714,0.5845918397032402
198710,1.15,-1.01,1987-10-01,1987-10-31,1987-10-01,2.81,,2.995,0.26162950903902266,3.2133333333333334,0.42099089459670413,3.06,0.4606517122512408,2.914,0.5154900581000569,2.9450000000000003,0.46727935969824297,2.791428571428572,0.589107476652282,2.791428571428572,0.589107476652282
198711,2.54,0.31,1987-11-01,1987-11-30,1987-11-01,2.93,,3.2350000000000003,0.4313351365237939,3.106666666666667,0.37740340927624555,3.3075,0.5062525720099273,3.2439999999999998,0.4608470462094772,3.0383333333333327,0.6509198619389845,2.8557142857142854,0.7658515335419598,2.8557142857142854,0.7658515335419598
198712,2.87,0.53,1987-12-01,1987-12-31,1987-12-01,2.0,,1.73,0.3818376618407357,1.9833333333333334,0.5152022256680705,2.345,0.8367596229901791,2.6260000000000003,0.9591298139459539,2.5900000000000003,0.862392022226551,2.4442857142857144,0.8765815638577155,2.4442857142857144,0.8765815638577155
198801,1.97,-0.34,1988-01-01,1988-01-31,1988-01-01,2.17,,1.81,0.5091168824543142,1.68,0.4246174749112429,1.5975000000000001,0.38395963329495975,1.6940000000000002,0.39639626637999503,1.885,0.5870178872913498,1.885,0.5870178872913498,1.885,0.5870178872913498
198802,1.52,-0.61,1988-02-01,1988-02-29,1988-02-01,2.33,,2.575,0.3464823227814081,2.4166666666666665,0.3677408507812713,2.34,0.33714487489307415,2.408,0.3291959902550455,2.3783333333333334,0.30327655146197285,2.3485714285714283,0.2878326233206011,2.3485714285714283,0.2878326233206011
198803,2.04,-0.47,1988-03-01,1988-03-31,1988-03-01,2.67,,2.325,0.48790367901871773,2.376666666666667,0.35641735835019783,2.47,0.34573593005838044,2.716,0.6262826837778609,2.681666666666667,0.5664421123704229,2.6128571428571434,0.5482005194486863,2.6128571428571434,0.5482005194486863
198804,2.32,-0.2,1988-04-01,1988-04-30,1988-04-01,1.46,,1.85,0.5515432893255072,1.89,0.39610604640676733,2.1550000000000002,0.6208864630510156,2.364,0.7124113979997795,2.39,0.6403748902010449,2.3614285714285717,0.5894468755092516,2.3614285714285717,0.5894468755092516
198805,2.07,-0.84,1988-05-01,1988-05-31,1988-05-01,3.24,,3.095,0.2050609665440988,2.9133333333333336,0.3464582706955247,2.9725,0.3066349621292394,3.0700000000000003,0.3435840508521896,3.126666666666667,0.33720419135394314,3.1871428571428573,0.34692526984516836,3.1871428571428573,0.34692526984516836
198806,1.61,-1.31,1988-06-01,1988-06-30,1988-06-01,2.81,,2.92,0.15556349186104027,2.8200000000000003,0.20518284528683176,2.8475,0.1763282923034946,2.868,0.1594365077389742,2.9416666666666664,0.22999275350903267,3.0071428571428567,0.27219565791995315,3.0071428571428567,0.27219565791995315
198807,2.7,-0.08,1988-07-01,1988-07-31,1988-07-01,2.83,,2.79,0.05656854249492385,2.766666666666667,0.05686240703077323,2.7825,0.05619905100029119,2.6420000000000003,0.3179150830017349,2.6933333333333334,0.3109126351029605,2.75,0.3209880579294708,2.75,0.3209880579294708
198808,2.57,-0.05,1988-08-01,1988-08-31,1988-08-01,2.74,,2.7800000000000002,0.05656854249492354,2.8266666666666667,0.09018499505645775,2.7275,0.21156165374030636,2.656,0.24316660954991323,2.6383333333333336,0.22175812649521243,2.655714285714286,0.20759392595940293,2.655714285714286,0.20759392595940293
198809,2.81,0.32,1988-09-01,1988-09-30,1988-09-01,2.19,,2.8899999999999997,0.9899494936611665,2.9233333333333333,0.7023769168568492,2.67,0.7652450587883597,2.588,0.6876190805962267,2.565,0.6176001943004876,2.4957142857142856,0.5928422258593805,2.4957142857142856,0.5928422258593805
198810,1.43,-0.73,1988-10-01,1988-10-31,1988-10-01,0.0,0.0,2.81,,2.995,0.26162950903902266,3.2133333333333334,0.42099089459670413,3.06,0.4606517122512408,2.914,0.5154900581000569,2.9450000000000003,0.46727935969824297,2.9450000000000003,0.46727935969824297
198811,3.17,0.94,1988-11-01,1988-11-30,1988-11-01,2.54,,2.7350000000000003,0.27577164466275367,3.003333333333334,0.5040171954738581,2.9650000000000003,0.4186088070422472,3.1540000000000004,0.5568033764265443,3.126666666666667,0.5025004145935271,2.9671428571428575,0.6233435191426497,2.9671428571428575,0.6233435191426497
198812,1.69,-0.65,1988-12-01,1988-12-31,1988-12-01,2.87,,2.435,0.6151828996322964,2.11,0.7114070564732965,2.205,0.611146463623901,2.45,0.7617414259445262,2.6666666666666665,0.8636357256775954,2.63,0.7943341026713298,2.63,0.7943341026713298
198901,2.05,-0.26,1989-01-01,1989-01-31,1989-01-01,1.97,,2.07,0.14142135623730948,1.8633333333333333,0.37166292972710274,1.7525,0.3757991484822711,1.672,0.37191396854649056,1.74,0.3720215047547655,1.897142857142857,0.5368337509792731,1.897142857142857,0.5368337509792731
198902,2.01,-0.12,1989-02-01,1989-02-28,1989-02-01,1.52,,1.925,0.5727564927611035,2.223333333333333,0.6565312889218101,2.1925,0.5395908944129184,2.1759999999999997,0.468753666652326,2.26,0.46703318939878347,2.255714285714286,0.42649177963383783,2.255714285714286,0.42649177963383783
198903,2.91,0.4,1989-03-01,1989-03-31,1989-03-01,2.04,,2.355,0.44547727214752486,2.23,0.3822302970723278,2.2925,0.33619190948028477,2.384,0.35585109245300905,2.6033333333333335,0.6244570975388676,2.5900000000000003,0.5711392124517455,2.5900000000000003,0.5711392124517455
198904,1.79,-0.73,1989-04-01,1989-04-30,1989-04-01,2.32,,1.89,0.6081118318204308,2.0066666666666664,0.47511402140258224,1.9974999999999998,0.38836194458262774,2.1879999999999997,0.5427430331197262,2.356666666666667,0.6374532662608818,2.38,0.5851780355868916,2.38,0.5851780355868916
198905,3.25,0.34,1989-05-01,1989-05-31,1989-05-01,2.07,,2.6550000000000002,0.8273149339882608,2.753333333333334,0.6092892033618629,2.7025000000000006,0.5077647092896475,2.7920000000000007,0.48313559173383214,2.9033333333333338,0.5109859750195369,2.975714285714286,0.5042438941245644,2.975714285714286,0.5042438941245644
198906,3.8,0.88,1989-06-01,1989-06-30,1989-06-01,1.61,,2.21,0.848528137423857,2.483333333333333,0.7642861593234128,2.5175,0.6277672073839685,2.6,0.5741080037762929,2.658333333333333,0.5330071919464752,2.7514285714285713,0.5453570259144789,2.7514285714285713,0.5453570259144789
198907,2.86,0.08,1989-07-01,1989-07-31,1989-07-01,2.7,,2.765,0.0919238815542511,2.7600000000000002,0.06557438524301996,2.7500000000000004,0.05715476066494077,2.7660000000000005,0.06107372593840983,2.651666666666667,0.2853360591770109,2.694285714285715,0.28383429102542346,2.694285714285715,0.28383429102542346
198908,2.73,0.11,1989-08-01,1989-08-31,1989-08-01,2.57,,2.6550000000000002,0.12020815280171335,2.7100000000000004,0.1276714533480371,2.7625,0.14795832746644128,2.696,0.19629060089571274,2.641666666666667,0.22031038710570738,2.628571428571429,0.20407748295100817,2.628571428571429,0.20407748295100817
198909,2.68,0.19,1989-09-01,1989-09-30,1989-09-01,2.81,,2.5,0.4384062043356595,2.8633333333333333,0.7015221545563143,2.895,0.5762811813689563,2.698,0.6656725921952924,2.625,0.6216671134940307,2.6,0.5713434460404122,2.6,0.5713434460404122
198910,1.89,-0.27,1989-10-01,1989-10-31,1989-10-01,1.43,,1.43,,2.12,0.9758073580374357,2.473333333333333,0.9222978549976865,2.7675,0.9556280657243172,2.734,0.8309813475644324,2.6666666666666665,0.7613321657901148,2.6666666666666665,0.7613321657901148
198911,1.73,-0.5,1989-11-01,1989-11-30,1989-11-01,3.17,,2.855,0.44547727214752486,2.8800000000000003,0.31796226191169286,3.045,0.4198809355043403,3.006,0.37393849761692094,3.1566666666666663,0.49806291436591293,3.132857142857143,0.459010322531505,3.132857142857143,0.459010322531505
198912,1.34,-1.0,1989-12-01,1989-12-31,1989-12-01,1.69,,2.2800000000000002,0.8343860018001261,2.186666666666667,0.6117461347105786,2.005,0.6176568626672905,2.102,0.5772088010417028,2.3233333333333333,0.7486432172047423,2.5271428571428567,0.8705307631116832,2.5271428571428567,0.8705307631116832
199001,2.78,0.47,1990-01-01,1990-01-31,1990-01-01,2.05,,2.01,0.0565685424949237,2.063333333333333,0.10066445913694332,1.91,0.3174901573277509,1.8119999999999998,0.3515963594805839,1.7349999999999997,0.3667015134956494,1.784285714285714,0.3592518681397561,1.784285714285714,0.3592518681397561
199002,2.68,0.55,1990-02-01,1990-02-28,1990-02-01,2.01,,1.765,0.3464823227814081,1.9533333333333331,0.4079624165696312,2.17,0.5465650312024483,2.1559999999999997,0.4743732707478362,2.148333333333333,0.424707742649774,2.224285714285714,0.4366866589389217,2.224285714285714,0.4366866589389217
199003,2.71,0.2,1990-03-01,1990-03-31,1990-03-01,2.91,,2.475,0.6151828996322964,2.54,0.44933283877321945,2.4,0.4615192303685731,2.416,0.40128543457245,2.4716666666666667,0.383948781306396,2.6471428571428572,0.5817133969494567,2.6471428571428572,0.5817133969494567
199004,2.49,-0.03,1990-04-01,1990-04-30,1990-04-01,1.79,,2.0549999999999997,0.3747665940288701,1.8566666666666665,0.4338586559391587,1.9525,0.4027716474629266,1.956,0.3488982659744815,2.1216666666666666,0.5119147064371825,2.275714285714286,0.6200768001588498,2.275714285714286,0.6200768001588498
199005,3.83,0.92,1990-05-01,1990-05-31,1990-05-01,3.25,,2.66,0.8343860018001261,2.8533333333333335,0.6784049921199973,2.8775000000000004,0.5560200835701292,2.8120000000000003,0.503309050186861,2.8683333333333336,0.47084675497094247,2.9528571428571433,0.484517432975474,2.9528571428571433,0.484517432975474
199006,2.5,-0.42,1990-06-01,1990-06-30,1990-06-01,3.8,,2.705,1.5485638507985389,2.74,1.0966767983321248,2.8125,0.9070970179644512,2.774,0.7902721050372459,2.8000000000000003,0.70970416371894,2.8214285714285716,0.6503442311942337,2.8214285714285716,0.6503442311942337
199007,2.94,0.16,1990-07-01,1990-07-31,1990-07-01,2.86,,2.7800000000000002,0.1131370849898474,2.796666666666667,0.08504900548115368,2.785,0.07325753658611961,2.7720000000000002,0.06978538528947151,2.7816666666666667,0.06675827039900491,2.681428571428572,0.27211692164879975,2.681428571428572,0.27211692164879975
199008,2.65,0.03,1990-08-01,1990-08-31,1990-08-01,2.73,,2.65,0.1131370849898477,2.6799999999999997,0.09539392014169472,2.715,0.10472185381603343,2.756,0.1289573572930215,2.7016666666666667,0.1761154924095738,2.6542857142857144,0.203867370517954,2.6542857142857144,0.203867370517954
199009,2.04,-0.45,1990-09-01,1990-09-30,1990-09-01,2.68,,2.745,0.0919238815542511,2.56,0.3269556544854364,2.8175,0.5800790176059349,2.852,0.5082519060465981,2.695,0.5954410130315176,2.632857142857143,0.567882449271393,2.632857142857143,0.567882449271393
199010,2.76,0.6,1990-10-01,1990-10-31,1990-10-01,1.89,,1.66,0.3252691193458118,1.66,0.3252691193458118,2.0433333333333334,0.7026616065598955,2.3275,0.8075632070205611,2.592,0.9159257611837327,2.5933333333333333,0.8192354159011113,2.5933333333333333,0.8192354159011113
